# tracer: nop
#
# entries-in-buffer/entries-written: 2647/2647   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-36697   [031] ...1. 136276.021851: kvm_tdp_mmu_spte_changed: as id 0 gfn 82 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021852: kvm_tdp_mmu_spte_changed: as id 0 gfn 83 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021852: kvm_tdp_mmu_spte_changed: as id 0 gfn 84 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021853: kvm_tdp_mmu_spte_changed: as id 0 gfn 85 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021854: kvm_tdp_mmu_spte_changed: as id 0 gfn 86 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021855: kvm_tdp_mmu_spte_changed: as id 0 gfn 87 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021856: kvm_tdp_mmu_spte_changed: as id 0 gfn 88 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021856: kvm_tdp_mmu_spte_changed: as id 0 gfn 89 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021857: kvm_tdp_mmu_spte_changed: as id 0 gfn 8a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021858: kvm_tdp_mmu_spte_changed: as id 0 gfn 8b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021859: kvm_tdp_mmu_spte_changed: as id 0 gfn 8c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021859: kvm_tdp_mmu_spte_changed: as id 0 gfn 8d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021860: kvm_tdp_mmu_spte_changed: as id 0 gfn 8e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021861: kvm_tdp_mmu_spte_changed: as id 0 gfn 8f level 1 old_spte 0 new_spte 5a0
